,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-12-09,81.0,84.089996,79.25,83.650002,83.650002,1963000
1,2014-12-10,83.459999,84.440002,81.360001,82.449997,82.449997,1645500
2,2014-12-11,82.949997,85.379997,82.66999799999999,82.980003,82.980003,1429200
3,2014-12-12,81.91999799999999,82.860001,81.0,81.58000200000001,81.58000200000001,1588300
4,2014-12-15,82.470001,82.5,80.449997,80.889999,80.889999,1414400
5,2014-12-16,80.339996,81.540001,78.779999,78.870003,78.870003,1487500
6,2014-12-17,79.260002,80.93,78.089996,80.620003,80.620003,1779400
7,2014-12-18,82.029999,84.699997,81.379997,84.57,84.57,2328900
8,2014-12-19,84.790001,85.75,84.290001,85.449997,85.449997,2501700
9,2014-12-22,85.489998,85.739998,83.83000200000001,84.139999,84.139999,1336000
10,2014-12-23,84.910004,85.82,84.379997,84.860001,84.860001,2239600
11,2014-12-24,84.470001,85.110001,84.019997,84.279999,84.279999,437100
12,2014-12-26,84.489998,85.589996,84.489998,84.959999,84.959999,863400
13,2014-12-29,84.699997,84.849998,82.57,83.690002,83.690002,865700
14,2014-12-30,83.07,83.5,82.139999,83.07,83.07,842400
15,2014-12-31,83.489998,83.5,81.459999,81.610001,81.610001,1190900
16,2015-01-02,81.82,81.970001,79.25,80.410004,80.410004,1630000
17,2015-01-05,80.0,80.970001,79.110001,80.010002,80.010002,1591400
18,2015-01-06,80.839996,81.480003,78.25,79.41999799999999,79.41999799999999,1584000
19,2015-01-07,79.730003,80.370003,78.860001,79.349998,79.349998,1106100
20,2015-01-08,79.559998,83.209999,79.379997,82.779999,82.779999,2090100
21,2015-01-09,82.889999,83.75,82.040001,82.599998,82.599998,1062400
22,2015-01-12,82.599998,84.260002,82.110001,83.489998,83.489998,1220200
23,2015-01-13,84.0,85.599998,82.68,83.849998,83.849998,1784200
24,2015-01-14,82.709999,83.25,79.33000200000001,81.010002,81.010002,1847200
25,2015-01-15,81.260002,81.339996,78.019997,78.059998,78.059998,1500600
26,2015-01-16,78.0,78.5,76.360001,78.400002,78.400002,1383300
27,2015-01-20,78.720001,78.980003,77.0,78.32,78.32,1359800
28,2015-01-21,78.269997,81.400002,77.900002,80.389999,80.389999,1571600
